Artist Name,Genre,Sub-Genre,Country,Website,Spotify,YouTube,Instagram,Notes
Girl Group,Alternative & Indie,Pop / R&B,UK,https://bio.to/GirlGroup,,https://www.youtube.com/results?search_query=Girl+Group+UK+band+music,,A divine feminine moment in pop culture: riot grrrl to R&B trio to dancing quintet.
Girl In The Year Above,Alternative & Indie,Indie,Ireland/UK,,,https://www.youtube.com/results?search_query=Girl+In+The+Year+Above+band,,Irish/Cornish five-piece supporting The Kooks at Spotlight Show.
Glasshouse Red Spider Mite,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Glasshouse+Red+Spider+Mite+band,,
Goodbye,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Goodbye+band+indie+UK,,
Half Happy,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Half+Happy+band+music,,
Hamish,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Hamish+indie+artist+UK,,
Headsend,Alternative & Indie,Alt Rock,UK,,,https://www.youtube.com/results?search_query=HEADSEND+band+music,,90s alt-rock trio.
Henry Coke,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Henry+Coke+music,,
Jackson Roy,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Jackson+Roy+music+indie,,
Julia Cumming,Alternative & Indie,Alt-Indie,USA,,,https://www.youtube.com/results?search_query=Julia+Cumming+Sunflower+Bean+solo,,"Brooklyn alt-indie frontwoman of Sunflower Bean, performing solo."
Leao,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Leao+band+music+UK,,
Legss,Alternative & Indie,Post-Punk,UK,,,https://www.youtube.com/results?search_query=Legss+band+post+punk,,
Lemonsuckr,Alternative & Indie,Indie Rock,UK,,,https://www.youtube.com/results?search_query=Lemonsuckr+band+music,,
Lisl,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Lisl+artist+music,,
Luca George,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Luca+George+music+indie,,
Lucia & The Best Boys,Alternative & Indie,Indie Pop,UK,,,https://www.youtube.com/results?search_query=Lucia+%26+The+Best+Boys+music,,
Luxjury,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Luxjury+band+music,,
Maddie Ashman,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Maddie+Ashman+music,,
Marsy,Alternative & Indie,Indie Pop,UK,,,https://www.youtube.com/results?search_query=Marsy+band+music+London,,Melodic London five-piece.
Maximilian,Alternative & Indie,Indie,Germany,,,https://www.youtube.com/results?search_query=Maximilian+indie+artist+music,,
Mitch Santiago,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Mitch+Santiago+music,,
Muroki,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Muroki+band+music,,
MustBeJohn,Alternative & Indie,Indie Alt,UK,http://mustbejohn.com/,https://open.spotify.com/artist/3ApHTmcL8bBnMm4hVWXiOu,https://www.youtube.com/results?search_query=mustbejohn+music,,"Boundary-pushing UK artist blending city life storytelling. Influenced by The Streets, Gorillaz, Arctic Monkeys."
My Precious Bunny,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=My+Precious+Bunny+band,,
Opal Mag,Alternative & Indie,Alt Rock,UK,,,https://www.youtube.com/results?search_query=Opal+Mag+music,,
Pigeon,Alternative & Indie,Afro Synth-Funk,UK,,,https://www.youtube.com/results?search_query=Pigeon+band+Margate+afro+synth,,Margate Afro synth-funk five-piece.
Pixie McCann,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Pixie+McCann+music,,
Power Plush,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Power+Plush+band+music,,
Really Good Time,Alternative & Indie,Post-Punk / Desert Rock,Ireland,https://www.facebook.com/reallygoodtimeband/,,https://www.youtube.com/results?search_query=Really+Good+Time+band+Dublin,,Dublin power trio blending desert rock rawness with post-punk urgency and electro build-and-drop.
Reece Bibby,Alternative & Indie,Indie Pop,UK,,,https://www.youtube.com/results?search_query=Reece+Bibby+music,,
Ringlets,Alternative & Indie,Post-Punk,New Zealand,https://ringlets.co.nz/,,https://www.youtube.com/results?search_query=Ringlets+band+New+Zealand+post+punk,,"Post-punk quartet from Aotearoa with sharp wit, grit, and sonic technicality."
Saint Clair,Alternative & Indie,Shoegaze / Alt Rock,UK,,,https://www.youtube.com/results?search_query=Saint+Clair+band+shoegaze+London,,"London four-piece blurring shoegaze and alt-rock. Moody guitars, introspective lyrics."
Shaking Hand,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Shaking+Hand+band+music,,
Shtëpi,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Shtëpi+band+music,,
SLAG,Alternative & Indie,Alt Rock,UK,https://linktr.ee/slag.band,,https://www.youtube.com/results?search_query=SLAG+band+music+UK,,Known for awesome live shows.
Spacestation,Alternative & Indie,Indie Rock,UK,,,https://www.youtube.com/results?search_query=Spacestation+band+indie+rock,,
Spiral Drive,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Spiral+Drive+band+music,,
Steel.,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Steel.+band+indie+music,,
Suzan Köcher's Suprafon,Alternative & Indie,Indie / Experimental,Switzerland,,,https://www.youtube.com/results?search_query=Suzan+K%C3%B6cher+Suprafon,,
The Cases,Alternative & Indie,Indie Rock,UK,,,https://www.youtube.com/results?search_query=The+Cases+band+indie+rock,,
The Itch,Alternative & Indie,New Romantic / Rave Pop,UK,https://theitchyouscratch.com/,,https://www.youtube.com/results?search_query=The+Itch+band+music+UK,,Pairing dancefloor fillers and disenchanted pop; tessellating New Romantic and rave influences. Word-of-mouth buzz.
The North,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=The+North+band+indie+music,,
The Orielles,Alternative & Indie,Indie Rock,UK,,https://open.spotify.com/artist/6Yf9IHGaR0VqDfL9FqQHZS,https://www.youtube.com/results?search_query=The+Orielles+band+music,,Halifax rock trio.
The Slow Country,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=The+Slow+Country+band+music,,
Tom A Smith,Alternative & Indie,Indie Rock,UK,,,https://www.youtube.com/results?search_query=Tom+A+Smith+music+Sunderland,,Rising Sunderland singer-songwriter with anthemic indie rock and sharp lyricism.
Trampolene,Alternative & Indie,Indie Punk,UK,,,https://www.youtube.com/results?search_query=Trampolene+band+Wales+music,,Welsh indie-punks.
Ugly Ozo,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Ugly+Ozo+band,,
Vera Ellen,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Vera+Ellen+artist+indie,,
Weston Loney,Alternative & Indie,Indie,USA,,,https://www.youtube.com/results?search_query=Weston+Loney+music,,
Why Horses?,Alternative & Indie,Post-Punk / Disco,UK,,,https://www.youtube.com/results?search_query=Why+Horses+band+Cardiff,,Cardiff post-punk/disco five-piece.
Westside Cowboy,Alternative & Indie,Britainicana,UK,https://www.instagram.com/westsidecowboyyy/,,https://www.youtube.com/results?search_query=Westside+Cowboy+band+Manchester+music,https://www.instagram.com/westsidecowboyyy/,Manchester four-piece. Won Glastonbury 2025 Emerging Talent Competition. Folk-rock 'Britainicana' with four-part harmonies.
Yumi and the Weather,Alternative & Indie,Indie Pop,UK,,,https://www.youtube.com/results?search_query=Yumi+and+the+Weather+music,,
Annie-Dog,Electronic & Dance,Electro Pop,Ireland,https://www.instagram.com/anniedogmusic/,,https://www.youtube.com/results?search_query=Annie-Dog+music,https://www.instagram.com/anniedogmusic/,Self-produced shapeshifting pop. Influences include Grimes and PinkPantheress.
Au/Ra,Electronic & Dance,Dark Pop,Germany/UK,https://www.heyitsaura.com/,https://open.spotify.com/artist/2mUxFGsVFB4BFoliYI4sHa,https://www.youtube.com/watch?v=HwEbpRRKWkw,,Powerful genre-blending sound; dark themes meet atmospheric production.
BED,Electronic & Dance,Rave Rock,Japan,https://www.instagram.com/bedsleepwell/,,https://www.youtube.com/results?search_query=BED+band+Tokyo+rave+rock,https://www.instagram.com/bedsleepwell/,"Tokyo-based rave rock fusing punk, electronic and techno. High-energy live performances with DIY ethos."
Bug Teeth,Electronic & Dance,Electronic,UK,,,https://www.youtube.com/results?search_query=Bug+Teeth+band+music,,
Carpetman,Electronic & Dance,Experimental Electronic,Ukraine,,,https://www.youtube.com/results?search_query=Carpetman+Ukraine+music,,"Mysterious Ukrainian newcomer, highly genre-shifting."
Greta Svabo Bech,Electronic & Dance,Electronic Pop,Faroe Islands,,,https://www.youtube.com/results?search_query=Greta+Svabo+Bech+music,,
Ibsxjaur,Electronic & Dance,Electronic,UK,,,https://www.youtube.com/results?search_query=Ibsxjaur+music,,
Jessie Mac,Electronic & Dance,Electronic,UK,,,https://www.youtube.com/results?search_query=Jessie+Mac+music+electronic,,
La Sécurité,Electronic & Dance,Synth Pop,Canada,,,https://www.youtube.com/results?search_query=La+S%C3%A9curit%C3%A9+band+music,,
Leila Shii,Electronic & Dance,Electronic,UK,,,https://www.youtube.com/results?search_query=Leila+Shii+music,,
Sistra,Electronic & Dance,Emotional Electronic,UK,https://sistraofficial.com/,,https://www.youtube.com/results?search_query=Sistra+band+electronic+music,,"London-based sister duo making emotional electronic music — writing songs for each other, saying what the other can't."
Taiga,Electronic & Dance,Electronic,UK,,,https://www.youtube.com/results?search_query=Taiga+artist+electronic+music,,
Tanzana,Electronic & Dance,Trip-Hop / Alt Rock,UK,https://www.facebook.com/TanzanaGlasgow,,https://www.youtube.com/results?search_query=Tanzana+Glasgow+band+music,,Glasgow five-piece creating trip-hop influenced alternative rock.
Wah Wah Wah,Electronic & Dance,Psychedelic Rock,South Korea,https://www.alpsinc.kr/wahwahwah,,https://www.youtube.com/results?search_query=Wah+Wah+Wah+Korea+psychedelic+rock,,Psychedelic rock combining garage rock rawness with progressive rock elements.
Yndling,Electronic & Dance,Dream Pop / Shoegaze,Norway,https://www.yndling.news/,,https://www.youtube.com/results?search_query=Yndling+artist+Norway+dream+pop,,"Norwegian project by Silje Espevik. Heavy guitars over big synthscapes. Dream pop meets trip-hop; evokes Cocteau Twins, Portishead."
Clothesline from Hell,"Folk, Americana & Country",Folk / Experimental,Canada,https://clotheslinefromhell.lnk.to/onice,,https://www.youtube.com/results?search_query=Clothesline+from+Hell+music,,Toronto songwriter. Acoustic guitar with programmed drums and samples. Imaginative and colourful.
Dermot Henry,"Folk, Americana & Country",Alt Folk,Ireland,https://dermothenry.os.fan/demos,,https://www.youtube.com/results?search_query=Dermot+Henry+music+folk,,"After supporting Kingfishr across Europe, emerging as a distinctive voice in UK alternative folk."
Essy Sparrow,"Folk, Americana & Country",Folk Pop,UK,,,https://www.youtube.com/results?search_query=Essy+Sparrow+music,,
Family Stereo,"Folk, Americana & Country",Folk,UK,,,https://www.youtube.com/results?search_query=Family+Stereo+band+folk,,
Gareth,"Folk, Americana & Country",Country Folk,Ireland,https://www.garethofficial.com/,,https://www.youtube.com/results?search_query=Gareth+country+folk+Ireland+music,,Seamlessly blends traditional Country with Irish Folk.
Isak Benjamin,"Folk, Americana & Country",Folk Pop,Sweden,https://www.isakbenjamin.com/,,https://www.youtube.com/results?search_query=Isak+Benjamin+music,,Stockholm native. Grew up in studios with sisters Johanna and Klara — better known as First Aid Kit.
Jack Devlin,"Folk, Americana & Country",Singer-Songwriter,UK,https://www.facebook.com/jackdevlinmusic/,,https://www.youtube.com/results?search_query=Jack+Devlin+music+singer+songwriter,,Northern Irish singer-songwriter known for emotive lyrics and evocative storytelling.
Ladylike,"Folk, Americana & Country",Folk / Post-Rock,UK,https://www.facebook.com/share/1MYnovuwRG/,,https://www.youtube.com/results?search_query=Ladylike+band+Brighton+folk,,"Brighton duo inhabiting a quiet, candlelit sound. Treading the tightrope between folk and post-rock."
Little Grandad,"Folk, Americana & Country",Americana / Alt-Country,UK,https://www.instagram.com/littlegrandad_/,,https://www.youtube.com/results?search_query=Little+Grandad+music+americana,https://www.instagram.com/littlegrandad_/,"Americana-indie with four-part harmonies, brass bursts. Shades of The Band and 90s alt-country."
Madra Salach,"Folk, Americana & Country",Experimental Folk,Ireland,https://www.instagram.com/madrasalach_,,https://www.youtube.com/results?search_query=Madra+Salach+music+Ireland,https://www.instagram.com/madrasalach_,Experimental Irish folk with electronic elements. Strikingly modern yet timeless.
Marlon Funaki,"Folk, Americana & Country",Alt Rock / Psych,USA,https://www.marlonfunaki.com/,,https://www.youtube.com/results?search_query=Marlon+Funaki+music,,"24-year-old from California. Alt rock, psychedelic textures, jazz-influenced guitar work."
Meltt,"Folk, Americana & Country",Psych Rock / Shoegaze,Canada,https://www.meltt.ca/,,https://www.youtube.com/results?search_query=Meltt+band+music+Vancouver,,Vancouver psych-rockers. Distorted guitars dissolving into bright melodies with shimmering synths.
Morn,"Folk, Americana & Country",Post-Rock,UK,https://mornbandinfo.wixsite.com/morn,,https://www.youtube.com/results?search_query=Morn+band+music+UK,,Two sets of siblings. 'Doom over beautiful chords' — soul-baring vocals over cathartic energy.
Sean Trelford,"Folk, Americana & Country",Singer-Songwriter,UK,https://www.seantrelford.com/,,https://www.youtube.com/results?search_query=Sean+Trelford+music,,"Writes, performs, records, produces and designs artwork. Crafting an entire world for the audience."
Tim Baker,"Folk, Americana & Country",Folk Rock,Canada,,,https://www.youtube.com/results?search_query=Tim+Baker+folk+rock+music,,
Tommy WÁ,"Folk, Americana & Country",Cinematic Folk,Nigeria/Ghana,https://www.tommywa.com/,,https://www.youtube.com/results?search_query=Tommy+W%C3%81+music,,One of the most special new voices. African folk roots meet cinematic beauty evoking Bon Iver and Michael Kiwanuka.
Tygermylk,"Folk, Americana & Country",Folk,UK,,,https://www.youtube.com/results?search_query=Tygermylk+music,,
Bella Barbe,"Grime, Rap & Hip-Hop",Hip-Hop / Soul,UK,,,https://www.youtube.com/results?search_query=Bella+Barbe+music+London,,London soulful hip-hop artist.
Boutique Feelings,"Grime, Rap & Hip-Hop",Rap,UK,,,https://www.youtube.com/results?search_query=Boutique+Feelings+music,,
DC3,"Grime, Rap & Hip-Hop",Gospel Rap / Jazz Hip-Hop,UK,https://www.facebook.com/people/Dc3media/61580911173033/,,https://www.youtube.com/results?search_query=DC3+gospel+rap+hip-hop+UK,,"18-year-old mixing gospel, hip-hop and jazz. Faith-driven, authentic storytelling."
Joker Starr,"Grime, Rap & Hip-Hop",Grime,UK,,,https://www.youtube.com/results?search_query=Joker+Starr+grime+music,,
Marius DC,"Grime, Rap & Hip-Hop",Rap,UK,,,https://www.youtube.com/results?search_query=Marius+DC+music+rap,,
Meduulla Sorvina,"Grime, Rap & Hip-Hop",Rap,UK,,,https://www.youtube.com/results?search_query=Meduulla+Sorvina+music,,
Sophia Thakur,"Grime, Rap & Hip-Hop",Spoken Word / Poetry,UK,https://www.instagram.com/sophiathakur/,,https://www.youtube.com/results?search_query=Sophia+Thakur+spoken+word,https://www.instagram.com/sophiathakur/,BBC's 'Poet of this Generation'. Vogue's one of the most adored poets. Generational storyteller.
Tony Bontana,"Grime, Rap & Hip-Hop",Grime / Rap,UK,,,https://www.youtube.com/results?search_query=Tony+Bontana+music+Birmingham,,Birmingham rapper-producer adding grime and rap firepower.
Who Shot Scott,"Grime, Rap & Hip-Hop",Hip-Hop,UK,,,https://www.youtube.com/results?search_query=Who+Shot+Scott+music+hip-hop,,
Ashaine White,"Jazz, R&B & Soul",Alt R&B,UK,https://www.ashainewhite.com/,,https://www.youtube.com/results?search_query=Ashaine+White+music,,"Alternative in the purest sense. Connects people through free, authentic music."
James Emmanuel,"Jazz, R&B & Soul",Soul / Jazz,UK/Uganda,https://www.jamesemmanuel.co.uk/,,https://www.youtube.com/results?search_query=James+Emmanuel+music+soul,,"Edinburgh-based. Warm, soulful performances. Debut 'Lonesome Man' resonated far and wide."
Jazz Cuti,"Jazz, R&B & Soul",Jazz,UK,,,https://www.youtube.com/results?search_query=Jazz+Cuti+music,,
JNR Williams,"Jazz, R&B & Soul",R&B,UK,,,https://www.youtube.com/results?search_query=JNR+Williams+music+R%26B,,
Levitation Orchestra,"Jazz, R&B & Soul",Jazz / Orchestral,UK,,,https://www.youtube.com/results?search_query=Levitation+Orchestra+music,,
Lily Moore,"Jazz, R&B & Soul",Soul / Blues,UK,https://www.facebook.com/lilymooremusic/,,https://www.youtube.com/results?search_query=Lily+Moore+music+soul,,"Raw, soulful storytelling that makes you feel every lyric. Sold out back-to-back London shows."
Ngaiire,"Jazz, R&B & Soul",Future Soul / Alt Pop,Papua New Guinea/Australia,https://www.ngaiire.com/,,https://www.youtube.com/results?search_query=Ngaiire+music,,"Papua New Guinean/Australian artist fusing electronic future-soul, gospel and alt-pop."
Persia Holder,"Jazz, R&B & Soul",Soul Pop,UK,https://www.instagram.com/persiaholder/,,https://www.youtube.com/results?search_query=Persia+Holder+music,https://www.instagram.com/persiaholder/,Blend of emotional pop and soulful storytelling. Part of a new wave redefining British vulnerability.
Tukki,"Jazz, R&B & Soul",R&B / Afrobeats,UK,https://linktr.ee/Tukki,,https://www.youtube.com/results?search_query=Tukki+music+R%26B,,"London-born from Tottenham. Indonesian, Senegalese, French heritage. R&B meets afro sounds. Self-discovery and healing themes."
Wesley Joseph,"Jazz, R&B & Soul",R&B / Alt Soul,UK,,,https://www.youtube.com/results?search_query=Wesley+Joseph+music+R%26B,,"R&B polymath adding smooth, genre-blending grooves."
Abbie Piper,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Abbie+Piper+music,,
AK Patterson,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=AK+Patterson+music,,
Argyle,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Argyle+band+pop+music+UK,,
Ava Joe,Pop & Singer-Songwriters,Pop,UK,https://avajoe.os.fan/,,https://www.youtube.com/results?search_query=Ava+Joe+music+singer,,Singer-songwriter who cut her teeth in Kingston jam nights. Centre-stage performer.
Becky Sikasa,Pop & Singer-Songwriters,Indie Pop,UK/Scotland,https://www.beckysikasa.com/,,https://www.youtube.com/results?search_query=Becky+Sikasa+music,,"Poetic lyrics on love, identity and transformation. Two releases shortlisted for Scottish Album of the Year."
Blair Davie,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Blair+Davie+music,,
Charli Lucas,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Charli+Lucas+music,,
Dirty Blond,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Dirty+Blond+music+UK,,
Elín Hall,Pop & Singer-Songwriters,Art Pop,Iceland,,,https://www.youtube.com/results?search_query=El%C3%ADn+Hall+music+Iceland,,
Elsa,Pop & Singer-Songwriters,Pop,UK,https://www.facebook.com/elsawav/,,https://www.youtube.com/results?search_query=Elsa+artist+music+UK+pop,,Spotify Fresh Finds and BBC Featured Artist. One to watch.
Heidi Curtis,Pop & Singer-Songwriters,Indie Folk Pop,UK,,,https://www.youtube.com/results?search_query=Heidi+Curtis+music,,Emotive indie folk singer-songwriter.
Hope Winter,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Hope+Winter+music+singer,,
Izzy Withers,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Izzy+Withers+music,,
Jos Rivers,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Jos+Rivers+music,,
Kellan Christopher Cragg,Pop & Singer-Songwriters,Alt Pop,USA,https://www.kellancraggmusic.com/,,https://www.youtube.com/results?search_query=Kellan+Christopher+Cragg+music,,"18-year-old Minneapolis multi-hyphenate. Writes, performs, produces and directs all his own work."
Kilu,Pop & Singer-Songwriters,Pop,Germany,,,https://www.youtube.com/results?search_query=Kilu+music+artist,,
Lauren Auder,Pop & Singer-Songwriters,Art Pop,UK,,,https://www.youtube.com/results?search_query=Lauren+Auder+music,,London-based pop singer-songwriter.
Lina-Mariah,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Lina-Mariah+music,,
Luvis,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Luvis+music+UK+pop,,
Matthew Ifield,Pop & Singer-Songwriters,Singer-Songwriter,Australia,,,https://www.youtube.com/results?search_query=Matthew+Ifield+music,,Australian songwriter bringing global talent to the lineup.
Max Baby,Pop & Singer-Songwriters,Lo-Fi / Art Pop,France,https://maxbaby.bfan.link/feet,,https://www.youtube.com/results?search_query=Max+Baby+music+France,,"French multi-instrumentalist who grew up near Bourges building drum kits from cookie tins. Self-taught, instinctive."
Samira Hills,Pop & Singer-Songwriters,Pop,UK,,,https://www.youtube.com/results?search_query=Samira+Hills+music,,
Tommy WÁ,Pop & Singer-Songwriters,Cinematic Folk,Nigeria/Ghana,https://www.tommywa.com/,,https://www.youtube.com/results?search_query=Tommy+W%C3%81+music,,"Nigerian-born, Ghana-based. African folk roots with cinematic beauty. Evoking Bon Iver and Michael Kiwanuka."
Arson,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=Arson+band+rock+UK,,
Emnw,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=Emnw+band+music,,
Eurotripp,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=Eurotripp+band+music,,
Girl Tones,"Punk, Rock & Metal",Rock,USA,https://www.girltones.com/,,https://www.youtube.com/results?search_query=Girl+Tones+band+rock+music,,"High-energy rock duo of two classically trained sisters. Cello to guitar, piano to drums."
Hank,"Punk, Rock & Metal",Punk Rock,UK,,,https://www.youtube.com/results?search_query=Hank+band+punk+rock+UK,,
Hetta,"Punk, Rock & Metal",Metal / Rock,UK,,,https://www.youtube.com/results?search_query=Hetta+band+metal+music,,
Martial Arts,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=Martial+Arts+band+rock+UK,,
Modern Guilt,"Punk, Rock & Metal",Punk Rock,UK,,,https://www.youtube.com/results?search_query=Modern+Guilt+band+music,,
Necry Talkie,"Punk, Rock & Metal",Punk Rock,Japan,,,https://www.youtube.com/results?search_query=Necry+Talkie+music+Japan,,
Oversize,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=Oversize+band+rock+UK,,
PISS,"Punk, Rock & Metal",Noise Punk,Canada,https://www.instagram.com/piss_theband/,,https://www.youtube.com/results?search_query=PISS+band+Vancouver+punk,https://www.instagram.com/piss_theband/,"Noisy genre-bending 4-piece from Vancouver. Combines music, poetry, sound collage and performance art."
Problem Patterns,"Punk, Rock & Metal",Punk,UK,,,https://www.youtube.com/results?search_query=Problem+Patterns+band+punk,,
The Baby Seals,"Punk, Rock & Metal",Punk Rock,UK,,,https://www.youtube.com/results?search_query=The+Baby+Seals+band+music,,
The Gnomes,"Punk, Rock & Metal",Rock,UK,,,https://www.youtube.com/results?search_query=The+Gnomes+band+rock+UK,,
The OBGMs,"Punk, Rock & Metal",Punk Rock / Hip-Hop,Canada,https://theobgms.com/,,https://www.youtube.com/results?search_query=The+OBGMs+music,,"Fuse punk, rock, and hip-hop. Critically acclaimed for 'The Ends'. Toured with Alexisonfire and Billy Talent."
